"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","ncoef"
"1","LQ","0.5","fc.LQ_rm.0.5",0.550797407407407,0.725,0.112584110228617,0.0586342194815161,0.467475726464159,0.0852110392308627,-0.06,0.357318718606606,0.0703044375644995,0.0371449005205319,0.00925925925925926,0.0185185185185185,7
"2","LQ","0.5","fc.LQ_rm.0.5",0.552484074074074,0.626,0.174161939080961,0.104424725018894,0.534149414835931,0.233010958674276,0.0175,0.774687248722562,0.133105435156519,0.14227894833361,0.0147058823529412,0.0294117647058824,7
"3","LQ","0.5","fc.LQ_rm.0.5",0.570756296296296,0.957,0.0927481314830887,0.0694606168038951,0.576892901016975,0.132985515468219,0.0105,0.494584337263794,0.0250974658869396,0.034928298220642,0,0,9
"4","LQ","0.5","fc.LQ_rm.0.5",0.563195185185185,0.504,0.223974927714843,0.138933309507403,0.350038541325567,0.144817240162873,-0.422,0.297441310737653,0.240733574131407,0.170018782016292,0.00925925925925926,0.0185185185185185,6
"5","LQ","0.5","fc.LQ_rm.0.5",0.532234444444444,0.587,0.0608559087894099,0.0550718761221869,0.518513970676334,0.0884403509793617,0.048,0.319296100821792,0.0270897832817337,0.0372483263638265,0.0131578947368421,0.0263157894736842,7
"6","LQ","0.5","fc.LQ_rm.0.5",0.556601481481481,0.492,0.101170334799201,0.0900953485961809,0.627666175057695,0.119946329028785,0.42725,0.529526439377676,0.0328947368421053,0.0657894736842105,0,0,9
"7","LQ","0.5","fc.LQ_rm.0.5",0.59130037037037,0.69,0.154629121794014,0.0225018940801635,0.748806818927625,0.0333668847716511,0.795,0.0801540184062325,0.0498724343538585,0.0371469717488126,0,0,10
"8","LQ","0.5","fc.LQ_rm.0.5",0.567077037037037,0.663,0.206011983310158,0.0911496416900451,0.780122622066231,0.0942879879343184,0.77375,0.133544936257426,0.0158382066276803,0.0188048551477337,0,0,8
"9","LQ","0.5","fc.LQ_rm.0.5",0.562557407407407,0.742,0.057125982153752,0.0613226256625065,0.542026209042112,0.0682251092476333,0.26575,0.240724427509964,0.0355822153422773,0.0373506655329629,0,0,6
"10","LQ","0.5","fc.LQ_rm.0.5",0.54678962962963,0.766,0.0738974440379659,0.0569871279715668,0.627705985468366,0.0610126220245173,0.39675,0.146363417560537,0.0501949317738791,0.0698565964412839,0.00657894736842105,0.0131578947368421,6
"11","LQ","0.5","fc.LQ_rm.0.5",0.56786962962963,0.525,0.146692212559353,0.105405541854586,0.426792054576478,0.111942417433483,-0.13825,0.49923566579322,0.068082788671024,0.112833209441927,0,0,7
"12","LQ","0.5","fc.LQ_rm.0.5",0.565137037037037,0.296,0.145631371944096,0.0273463320659126,0.483173135687721,0.136076023039152,-0.336,0.523800852742083,0.216632266941864,0.112439619514219,0.0343567251461988,0.0526518804250559,10
"13","LQ","0.5","fc.LQ_rm.0.5",0.560502222222222,0.482,0.108275236975314,0.0704004907495525,0.461558790125666,0.0814023002457206,-0.0755,0.195776232810148,0.0521442495126706,0.0361938491766611,0,0,8
"14","LQ","0.5","fc.LQ_rm.0.5",0.558856666666667,0.773,0.14225333024986,0.0466615216046679,0.656539421713704,0.121348910544149,0.47425,0.460623761870792,0.0533769063180828,0.0838992135684955,0,0,7
"15","LQ","0.5","fc.LQ_rm.0.5",0.567957037037037,0.893,0.0670239078277368,0.0649417353650708,0.511760648685624,0.0660301997191048,-0.1485,0.59323379314848,0.123272847150556,0.0897466460667358,0.0305440889806215,0.0244452109416028,9
"16","LQ","0.5","fc.LQ_rm.0.5",0.540594444444444,0.839,0.215702334432775,0.122185580213522,0.34190859862735,0.116378497721125,-0.4435,0.416789715164214,0.183823529411765,0.200679052127465,0,0,7
"17","LQ","0.5","fc.LQ_rm.0.5",0.566344814814815,0.89,0.255681551200896,0.0436722025891958,0.829166485260605,0.0259546007216427,0.763,0.104540263375728,0.00657894736842105,0.0131578947368421,0.00657894736842105,0.0131578947368421,5
"18","LQ","0.5","fc.LQ_rm.0.5",0.5854,0.647,0.0549282486483869,0.0584223197959277,0.562772359941229,0.0800946086954102,0.16925,0.280032587389397,0.0761953904368765,0.0606006586822919,0,0,7
"19","LQ","0.5","fc.LQ_rm.0.5",0.549869259259259,0.317,0.10057816396477,0.0473918521264515,0.637591985650986,0.0968856039830945,0.61075,0.461794597196632,0.0978815502809311,0.104854762801062,0,0,9
"20","LQ","0.5","fc.LQ_rm.0.5",0.574858888888889,0.703,0.0379923523208791,0.0279521604259714,0.581526050986123,0.063298687304252,0.22875,0.192954873826326,0.0599128540305011,0.0625200211428398,0,0,10
"21","LQ","0.5","fc.LQ_rm.0.5",0.568457037037037,0.94,0.130868048151493,0.114735726905282,0.444888904379169,0.122267047311221,-0.1735,0.643121813241214,0.157858903795436,0.135112902859048,0.0482456140350877,0.0476587258417062,7
"22","LQ","0.5","fc.LQ_rm.0.5",0.584228888888889,0.916,0.177052304975599,0.0864768313458503,0.526601068225508,0.202341196593324,-0.07775,0.471896439910284,0.0629084967320261,0.10711030468348,0.00925925925925926,0.0185185185185185,8
"23","LQ","0.5","fc.LQ_rm.0.5",0.55688037037037,0.914,0.0924537078349495,0.0806863217293974,0.649816293079228,0.103828993258251,0.5335,0.255236491643861,0.036349042540993,0.032580512690967,0,0,9
"24","LQ","0.5","fc.LQ_rm.0.5",0.558895925925926,0.79,0.128869632401839,0.0527548450637833,0.548589352561834,0.150559818325022,0.04125,0.708555984614719,0.0579922027290448,0.0752004744286952,0.00657894736842105,0.0131578947368421,9
"25","LQ","0.5","fc.LQ_rm.0.5",0.574025555555556,0.755,0.343445858340924,0.0570024817685234,0.238548700245929,0.0510626565069696,-0.55325,0.37831325203681,0.445884932920537,0.2351922896841,0.0645711500974659,0.0870684649300647,6
"26","LQ","0.5","fc.LQ_rm.0.5",0.578694444444444,0.662,0.143930893899769,0.0675865435365487,0.729702270938759,0.0684085257541402,0.57575,0.291588037020268,0.0139318885448916,0.0161367345419111,0.00657894736842105,0.0131578947368421,8
"27","LQ","0.5","fc.LQ_rm.0.5",0.526519259259259,0.697,0.144505806429388,0.0529165468667593,0.410218180733678,0.0590817216649813,-0.26075,0.37529932498385,0.116643733516799,0.0542435959408587,0,0,7
"28","LQ","0.5","fc.LQ_rm.0.5",0.601278888888889,0.843,0.0694542372055675,0.0746420029463118,0.55690682820087,0.090795844122471,0.1355,0.594078838763566,0.104252665978672,0.0656001479875409,0,0,8
"29","LQ","0.5","fc.LQ_rm.0.5",0.567,0.78,0.145223941671484,0.0566627444671093,0.61084771119186,0.180137231793812,0.1735,0.811592056803581,0.0806530214424951,0.144296426963516,0,0,9
"30","LQ","0.5","fc.LQ_rm.0.5",0.524810740740741,0.791,0.0876314093596511,0.0405768877367032,0.539048542276316,0.111305252064773,0.11675,0.356582271946695,0.0537280701754386,0.0650913249107712,0,0,6
"31","LQ","0.5","fc.LQ_rm.0.5",0.591199259259259,0.846,0.19686281827793,0.0195323155974836,0.79562082193134,0.0225531169403136,0.752,0.106780147967682,0.0274122807017544,0.039290510673616,0.00657894736842105,0.0131578947368421,7
"32","LQ","0.5","fc.LQ_rm.0.5",0.552417037037037,0.846,0.0712208098464122,0.0391938846327048,0.546488814023725,0.0901852004255531,0.123,0.452218973507304,0.0204678362573099,0.0264777343220392,0,0,8
"33","LQ","0.5","fc.LQ_rm.0.5",0.553652962962963,0.806,0.0666657720146726,0.0885724250476641,0.524747216673598,0.111524539799306,-0.02725,0.644910523509528,0.16098354546497,0.142163855039207,0.0339912280701754,0.0412023996229297,7
"34","LQ","0.5","fc.LQ_rm.0.5",0.55257,0.601,0.217151893636778,0.112415519423061,0.374685325327725,0.160091644066213,-0.4775,0.361362698683746,0.268618851049192,0.200072496823962,0.0147058823529412,0.0294117647058824,6
"35","LQ","0.5","fc.LQ_rm.0.5",0.556131481481482,0.878,0.328000624810725,0.0896392373144913,0.236713691344662,0.0817727344226354,-0.81575,0.0964723621907677,0.560170851966518,0.169481669986988,0.0416666666666667,0.0531903948753521,8
"36","LQ","0.5","fc.LQ_rm.0.5",0.560204814814815,0.551,0.228465285516056,0.0926598483271961,0.345161213413283,0.102512392918766,-0.511,0.334308240999231,0.278687937163169,0.145118374587985,0.0526315789473684,0.105263157894737,9
"37","LQ","0.5","fc.LQ_rm.0.5",0.542098518518519,0.84,0.195248744438534,0.09434630479783,0.612783608720873,0.23616980078319,0.26275,0.71421629543624,0.0950865726407522,0.082929005715304,0.00735294117647059,0.0147058823529412,10
"38","LQ","0.5","fc.LQ_rm.0.5",0.569769259259259,0.659,0.16316187518265,0.0844113053421134,0.446793719890988,0.129884120834467,-0.18775,0.597400131123744,0.201632553606238,0.144568763533566,0,0,5
