"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","ncoef"
"1","LQ","1","fc.LQ_rm.1",0.546936631016043,0.448,0.08827901764396,0.0310102844331263,0.533779245928516,0.0922260121436318,0.33325,0.426818755445447,0.150738642759919,0.0872977024695486,0.0429158607350097,0.0714875917269537,6
"2","LQ","1","fc.LQ_rm.1",0.542370053475936,0.848,0.230053296532665,0.0828085178078435,0.330836608875755,0.0787455085955077,-0.64825,0.448183277242692,0.304431728633856,0.192393411000144,0.037037037037037,0.0740740740740741,6
"3","LQ","1","fc.LQ_rm.1",0.532054812834225,0.664,0.131202027513829,0.126725231381886,0.493428703289078,0.183059283921665,-0.04675,0.789540953128251,0.195980831619129,0.12926384590067,0.0449076632587271,0.0312184928508188,6
"4","LQ","1","fc.LQ_rm.1",0.526654278074866,0.266,0.126471383985972,0.101239052609777,0.413802508135312,0.0858559192529644,-0.62425,0.320535359463924,0.203628227564398,0.125321599994132,0.0106382978723404,0.0212765957446809,4
"5","LQ","1","fc.LQ_rm.1",0.548500267379679,0.4,0.211603479554552,0.0858072209229488,0.351744816725385,0.0823695114361992,-0.64025,0.211032975306388,0.364785775690031,0.0754941852584283,0.0458114580455006,0.0389547850718046,4
"6","LQ","1","fc.LQ_rm.1",0.55059064171123,0.677,0.0738637353186603,0.0460015849352603,0.578708055237803,0.0813919421003368,0.462,0.374179992338803,0.117228516164686,0.101254167098607,0.0113636363636364,0.0227272727272727,8
"7","LQ","1","fc.LQ_rm.1",0.551597058823529,0.62,0.0547898870901756,0.0402518357246354,0.533722988385648,0.0798342928532821,-0.01525,0.389837038602884,0.143711686264878,0.0841683844922051,0.0110009671179884,0.0127166209083252,7
"8","LQ","1","fc.LQ_rm.1",0.533143048128342,0.791,0.115079784947237,0.0817858762871861,0.657478643337164,0.0774198166990301,0.622,0.385129415478313,0.0400733525733526,0.053567109650029,0.0105820105820106,0.0124085073011202,7
"9","LQ","1","fc.LQ_rm.1",0.554902139037433,0.861,0.0573168038090155,0.0674256279465584,0.612854783524076,0.0700056182843972,0.175,0.287352280891127,0.0648410395750821,0.0329674033096746,0.0159011595181808,0.0108187334833155,5
"10","LQ","1","fc.LQ_rm.1",0.565438770053476,0.583,0.105125159357431,0.0581287052843876,0.661099025785185,0.0854889968828138,0.54925,0.544918571898591,0.0276274651274651,0.0288991462691565,0,0,7
